Title,BL10:Det:Q1:TIFF1:FilePath,BL10:Det:Q1:TIFF1:FileName,BL10:Mot:rot4,Delay,BL10:Det:Q1:AcquireTime,BL10:Det:Q1:Acquire,Delay
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_031_034,31.34315654,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_253_084,253.8353925,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_116_033,116.3276284,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_338_082,338.8198644,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_201_031,201.3121003,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_063_080,63.80433629,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_286_030,286.2965722,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_148_079,148.7888082,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_011_028,11.28104414,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_233_077,233.7732801,10,180,1,20
Sample E with QHY600,/SNSlocal/data/IPTS-33531/images/qhy600/ct_scans/November8_2024_PlantE/,Sample_E_with_QHY600_096_027,96.26551604,10,180,1,20
